timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1274.200043193,179267.7188,178509.8438,178567.1406,170066.1094,183705.6094,177774.0781,181098.8438,176996.8438,178813.5312,180298.2031,179002.2188,179273.4219,178775.4219,179297.6094,187500.0,178805.0781
1274.20397967,172682.7188,171906.9531,171946.1406,163464.4062,177103.2188,171176.7969,174475.8125,170406.8906,171332.0625,172806.2812,171514.8438,171801.0312,171293.9062,171814.125,187500.0,171330.2344
1274.207965962,164365.1562,163575.6719,163595.8438,155138.1406,168770.5312,162853.0938,166120.8281,162090.2188,162772.1719,164233.9375,162946.4375,163247.7344,162730.9531,163252.8438,187500.0,162778.6562
1274.211956587,156129.8906,155342.7188,155342.4844,146899.0,160532.6875,154621.1875,157863.2656,153867.0781,155419.7031,156872.3438,155587.7812,155902.6562,155374.8906,155900.1562,187500.0,155436.375
1274.215953545,151261.75,150483.3594,150472.8438,142020.5625,155671.6719,149759.8438,152991.125,149008.7344,154936.3438,156391.8281,155103.1875,155424.0625,154888.9688,155418.8594,187500.0,154957.9219
1274.219953171,161097.5,160322.9844,160347.8438,151817.5781,165510.75,159602.8594,162871.7031,158825.3906,174693.7188,176180.5,174871.6719,175172.6094,174650.7812,175181.2188,187500.0,174696.5625
1274.223947962,185005.2344,184238.3281,184339.7031,175672.2344,187500.0,183524.0,186875.2656,182698.125,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.227942699,187500.0,187500.0,187500.0,183201.7656,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.231939953,187500.0,187500.0,187500.0,183975.0625,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.235939468,187500.0,187500.0,187500.0,183654.5781,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.239941926,187500.0,187500.0,187500.0,183583.6562,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.243932014,187500.0,187500.0,187500.0,183722.3125,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.24793275,187500.0,187500.0,187500.0,183649.875,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.251932524,187500.0,187500.0,187500.0,183450.6406,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.255923019,187500.0,187500.0,187500.0,183109.5312,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.259928219,187500.0,187500.0,187500.0,183168.6719,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.263929677,187500.0,187500.0,187500.0,183419.5938,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.267921061,187500.0,187500.0,187500.0,183218.0156,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.271927594,187500.0,187500.0,187500.0,183146.2188,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.275918034,187500.0,187500.0,187500.0,183331.75,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.279923659,187500.0,187500.0,187500.0,183253.375,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.283917414,187500.0,187500.0,187500.0,182923.4062,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.287919391,187500.0,187500.0,187500.0,182775.5312,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.291919405,187500.0,187500.0,187500.0,182856.2969,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.295917364,187500.0,187500.0,187500.0,183205.2969,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.2999146,187500.0,187500.0,187500.0,183170.1562,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.303920503,187500.0,187500.0,187500.0,182971.625,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.307912165,187500.0,187500.0,187500.0,182925.3281,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.311918012,187500.0,187500.0,187500.0,182926.75,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.31591073,187500.0,187500.0,187500.0,183169.4688,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.319917152,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.323912536,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.327908476,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.331904527,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.335910726,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.339905981,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.343900995,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.347902509,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.351901005,187500.0,187500.0,187500.0,186950.9219,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1274.3559055,187500.0,187500.0,187500.0,186588.4062,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
