timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1348.276156077,-14.618,-16.0709,-17.9485,-16.8085,-79478.0,-6793.8574,-18796.4766,-12408.4141,-18.6861,636.3989,-14.3498,-16.138,-40407.0352,-17777.0566,-115197.875,-52279.8828
1348.280154998,-14.5733,-16.1156,-18.0155,-16.7638,-79507.8359,-6853.7378,-18852.5117,-12466.2607,-18.7531,542.4545,-14.3945,-16.0933,-40413.5195,-17788.4121,-115184.8906,-52286.0938
1348.284152696,-14.5733,-16.1603,-17.9485,-16.7415,-79458.8906,-6808.0957,-18807.6289,-12429.0225,-18.6637,281.8331,-14.4392,-16.1156,-40363.9414,-17731.2148,-115139.375,-52238.1055
1348.288150043,-14.551,-16.138,-17.9485,-16.7638,-79452.8516,-6769.1587,-18778.5273,-12387.8506,-18.6637,415.9213,-14.4169,-16.138,-40369.9531,-17732.3984,-115159.8281,-52242.4414
1348.292145741,-14.5733,-16.1156,-18.0155,-16.7862,-79472.3203,-6784.2461,-18795.1562,-12397.5293,-18.7084,599.7867,-14.3722,-16.138,-40400.9141,-17765.3906,-115191.8125,-52272.1484
1348.296145292,-14.5733,-16.1156,-18.0155,-16.7862,-79505.6953,-6847.0547,-18852.3105,-12456.4932,-18.7755,596.1434,-14.3945,-16.205,-40421.0508,-17788.9043,-115193.5391,-52292.2656
1348.300143527,-14.618,-16.138,-18.0155,-16.7638,-79462.9766,-6818.936,-18818.3145,-12437.0469,-18.6861,280.3803,-14.4169,-16.1827,-40365.9102,-17726.5195,-115139.1797,-52240.7656
1348.304140596,-14.551,-16.138,-17.9708,-16.7415,-79449.6094,-6771.8857,-18778.1914,-12390.8682,-18.619,400.8338,-14.3722,-16.1827,-40367.875,-17723.5254,-115157.2188,-52241.1016
1348.308137276,-14.5286,-16.138,-17.9708,-16.7415,-79467.1328,-6777.25,-18790.084,-12394.8916,-18.6861,552.6022,-14.3945,-16.1827,-40390.875,-17746.5469,-115183.3672,-52261.6875
1348.312140808,-14.5957,-16.1156,-18.0155,-16.7862,-79504.2812,-6834.8506,-18845.9844,-12448.4688,-18.7755,660.9187,-14.3722,-16.1603,-40427.1758,-17789.7305,-115205.5625,-52296.332
1348.316135747,-14.6404,-16.1827,-17.9261,-16.8309,-79476.9688,-6831.8999,-18834.2734,-12452.2461,-18.619,306.5095,-14.3498,-16.205,-40372.4805,-17733.1816,-115147.0,-52245.9492
1348.32013152,-14.618,-16.1156,-17.9485,-16.7862,-79451.3281,-6775.5068,-18784.0938,-12396.8135,-18.619,380.449,-14.3722,-16.138,-40364.2773,-17722.1836,-115156.9062,-52237.6602
1348.324133829,-14.551,-16.138,-17.9708,-16.7638,-79468.0078,-6779.9995,-18790.8887,-12393.2598,-18.7084,511.4079,-14.3945,-16.0933,-40381.7109,-17739.1484,-115178.4297,-52252.8594
1348.328130083,-14.5063,-16.2274,-17.9708,-16.7415,-79502.2266,-6827.3179,-18837.8262,-12437.2705,-18.7308,691.9653,-14.3945,-16.1603,-40427.2188,-17790.5137,-115211.375,-52296.5312
