timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1442.225944722,-14.618,-16.0709,-17.9708,-16.8309,-87318.1406,-8999.125,-20424.7344,-14051.4238,-18.9096,1584.4258,-14.3275,-16.138,-43600.8086,-13886.6025,-86912.3438,-47356.6875
1442.229941682,-14.5957,-16.1156,-17.9485,-16.8085,-87346.5703,-9055.1836,-20482.5137,-14111.8184,-18.9096,1339.4952,-14.3275,-16.138,-43580.5156,-13872.6553,-86876.1094,-47340.793
1442.233942754,-14.6851,-16.1603,-17.9708,-16.7862,-87296.4844,-9009.876,-20432.6914,-14074.5586,-18.8872,1187.8611,-14.2828,-16.1827,-43542.7422,-13825.627,-86843.7031,-47300.8047
1442.237941214,-14.618,-16.1827,-17.9932,-16.8309,-87292.5469,-8979.7012,-20403.0742,-14036.873,-18.8649,1328.3418,-14.3498,-16.1603,-43553.7617,-13833.9863,-86864.1953,-47309.8125
1442.241943416,-14.5957,-16.1156,-18.0155,-16.7862,-87315.4375,-8993.8057,-20421.6719,-14047.3789,-18.9766,1555.7485,-14.4392,-16.1156,-43597.7695,-13883.6963,-86906.2656,-47352.0156
1442.245940672,-14.618,-16.138,-18.0155,-16.8085,-87349.8359,-9049.5957,-20481.1484,-14106.1416,-18.9766,1419.2465,-14.4169,-16.1156,-43597.5703,-13890.0889,-86890.6172,-47354.6953
1442.249939596,-14.618,-16.1827,-17.9708,-16.8756,-87310.6094,-9022.9746,-20451.1523,-14087.0527,-18.9096,1175.2994,-14.3498,-16.138,-43549.7812,-13834.7461,-86843.8594,-47307.2227
1442.25393413,-14.5957,-16.138,-17.9708,-16.8309,-87291.0078,-8978.8525,-20404.5059,-14036.9629,-18.8649,1279.7938,-14.3498,-16.138,-43551.0547,-13829.0693,-86854.8984,-47305.0078
1442.257953575,-14.5733,-16.0933,-17.9708,-16.7862,-87310.1406,-8985.334,-20412.5742,-14035.8223,-18.9319,1517.7058,-14.3498,-16.1827,-43591.2422,-13873.415,-86895.875,-47343.9883
1442.261935366,-14.5733,-16.0709,-17.9932,-16.7415,-87348.6484,-9043.5156,-20473.8633,-14090.8076,-18.9319,1475.3716,-14.3722,-16.1156,-43606.2422,-13896.7949,-86895.4922,-47360.7773
1442.265931678,-14.618,-16.138,-17.9708,-16.7415,-87319.3438,-9036.6758,-20462.3066,-14090.0029,-18.9096,1185.9836,-14.4169,-16.1156,-43556.9336,-13840.6475,-86843.4766,-47312.6992
1442.269937158,-14.6627,-16.138,-17.9708,-16.7862,-87291.2031,-8988.0391,-20410.4727,-14035.2861,-18.9096,1259.5656,-14.3722,-16.138,-43553.0664,-13826.1631,-86849.9375,-47304.6953
1442.273931951,-14.6404,-16.138,-17.9708,-16.8309,-87306.7891,-8987.2119,-20410.6973,-14024.7812,-18.9766,1460.5524,-14.3498,-16.1603,-43583.5977,-13853.5889,-86883.6016,-47331.7188
1442.277928393,-14.6627,-16.1827,-17.9932,-16.8532,-87343.3281,-9035.5586,-20460.6523,-14072.7031,-18.999,1529.4406,-14.3498,-16.1603,-43614.3984,-13891.9219,-86902.3047,-47363.3672
1442.281923242,-14.618,-16.1156,-17.9708,-16.8309,-87330.4375,-9049.5957,-20470.1309,-14097.9824,-18.8872,1220.3605,-14.3498,-16.1603,-43570.3242,-13844.916,-86849.7109,-47320.3398
1442.285925944,-14.5733,-16.1156,-17.9708,-16.8085,-87292.9688,-8995.3477,-20414.8535,-14044.7637,-18.8202,1240.9912,-14.3275,-16.1156,-43556.4648,-13824.7998,-86847.2109,-47302.8398
1442.289919737,-14.5957,-16.1156,-17.9708,-16.8085,-87301.9766,-8983.501,-20409.2207,-14024.7588,-18.8872,1398.6381,-14.3945,-16.138,-43574.4141,-13842.9268,-86872.6484,-47319.6055
