timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1551.53964249,-14.6627,-16.205,-18.0155,-16.7862,-91402.7422,-12686.7158,-22103.6406,-23965.9434,-19.1331,2662.3833,-14.4392,188.224,-51324.7695,-14593.0518,-86144.3125,-48140.9414
1551.54364131,-14.618,-16.1827,-18.0155,-16.8532,-91392.2344,-12700.1045,-22114.459,-23985.7461,-19.0884,2304.7332,-14.3498,9.5218,-51267.9727,-14529.6396,-86081.3047,-48086.5586
1551.547639222,-14.5957,-16.205,-17.9708,-16.8756,-91350.0625,-12642.46,-22046.1523,-23929.3086,-19.1331,2415.8882,-14.4169,-14.8416,-51271.5039,-14525.46,-86094.2734,-48082.3789
1551.55163719,-14.5957,-16.205,-17.9261,-16.8309,-91368.8828,-12648.3379,-22046.7324,-23931.1641,-19.1331,2568.5061,-14.4616,73.1126,-51294.5508,-14551.7012,-86119.9062,-48102.7656
1551.555637565,-14.618,-16.2274,-18.0155,-16.7415,-91398.3359,-12685.0615,-22083.9043,-23966.9043,-19.1554,2696.9839,-14.551,197.88,-51332.168,-14603.0879,-86148.4531,-48143.8008
1551.559638478,-14.5957,-16.1603,-18.0155,-16.7862,-91402.25,-12712.5322,-22114.7715,-24000.6777,-19.1107,2337.4561,-14.4169,18.7531,-51280.9805,-14552.2598,-86087.0078,-48098.2031
1551.56364515,-14.6404,-16.1603,-17.9485,-16.8309,-91354.375,-12655.4463,-22049.3477,-23946.877,-19.1554,2373.7107,-14.3945,-16.0933,-51271.0352,-14533.6406,-86085.1484,-48083.2305
1551.567634914,-14.6627,-16.138,-17.9261,-16.7638,-91367.4297,-12652.4062,-22039.5352,-23938.0254,-19.1554,2532.6538,-14.4169,40.412,-51292.293,-14555.3662,-86111.5703,-48103.6367
1551.571651345,-14.6404,-16.138,-18.0379,-16.8085,-91396.6406,-12683.6543,-22069.4863,-23967.5742,-19.1331,2729.3938,-14.5063,212.5427,-51338.1367,-14614.3301,-86151.3359,-48152.1836
1551.575650165,-14.6404,-16.0933,-18.0379,-16.8085,-91415.7266,-12725.3848,-22114.5918,-24016.1895,-19.1107,2388.731,-14.5063,47.1845,-51296.1797,-14573.3818,-86096.0391,-48117.0234
1551.579651948,-14.6627,-16.1827,-18.0155,-16.8085,-91360.5859,-12665.1914,-22050.2422,-23965.25,-19.0884,2354.0635,-14.4392,-15.8921,-51275.0586,-14539.7432,-86082.6953,-48092.6172
1551.583650101,-14.6404,-16.1827,-17.9932,-16.8085,-91368.0312,-12651.6689,-22035.1094,-23947.6367,-19.0884,2506.1445,-14.3498,13.4334,-51293.9453,-14557.624,-86107.6797,-48110.0273
1551.58765066,-14.618,-16.138,-17.9708,-16.7862,-91390.7812,-12673.8857,-22056.0078,-23968.6035,-19.2001,2719.5366,-14.4839,194.706,-51338.6484,-14612.542,-86150.0391,-48156.9883
1551.591644034,-14.618,-16.1603,-17.9708,-16.7862,-91419.0625,-12721.3613,-22107.8652,-24023.1191,-19.1331,2445.2585,-14.4616,73.6266,-51310.9102,-14588.3799,-86108.2422,-48136.4258
1551.595637278,-14.618,-16.1603,-18.0379,-16.8085,-91367.0938,-12670.7344,-22053.1035,-23981.6777,-19.0884,2322.1897,-14.4169,-15.1768,-51276.3984,-14541.1953,-86080.0781,-48097.3555
1551.599639596,-14.6404,-16.138,-18.0379,-16.8085,-91363.4688,-12642.8398,-22021.8555,-23947.748,-19.1107,2454.7356,-14.3945,3.9339,-51288.0664,-14548.7061,-86098.2969,-48102.8086
1551.603641396,-14.6627,-16.1827,-17.9932,-16.7638,-91383.0938,-12653.6807,-22033.6562,-23955.5723,-19.1331,2719.4919,-14.4616,205.9937,-51337.4883,-14605.5459,-86146.8828,-48150.6211
1551.607637955,-14.618,-16.1603,-17.9708,-16.8085,-91425.4766,-12714.3652,-22100.1094,-24017.9336,-19.0884,2546.0203,-14.4616,136.9044,-51330.2461,-14607.7812,-86125.1641,-48149.4805
1551.611638014,-14.6627,-16.138,-17.9708,-16.8085,-91380.9531,-12681.3965,-22067.2285,-23997.5488,-19.066,2311.5728,-14.4616,-11.1759,-51282.8828,-14548.5049,-86079.5625,-48099.7461
1551.615675928,-14.5733,-16.138,-17.9708,-16.7415,-91364.0078,-12641.8564,-22021.877,-23955.2363,-19.1331,2422.9961,-14.4169,-7.2643,-51288.8945,-14546.918,-86095.0938,-48101.0898
1551.619634336,-14.618,-16.138,-18.0155,-16.7415,-91379.1875,-12645.5215,-22024.4473,-23956.8223,-19.1778,2655.186,-14.4392,153.5118,-51327.0273,-14586.8154,-86136.6719,-48137.3633
