timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1657.193425216,-14.6627,-16.1156,-17.9708,-16.7862,-92003.5391,-16770.9824,-23035.2832,-33714.6797,-48.2351,3715.1729,-39.6743,889.2194,-61321.9219,-17354.9668,-86575.5469,-50353.4062
1657.197220934,-14.618,-16.1603,-18.0379,-16.7862,-92015.6953,-16806.7461,-23079.9414,-33751.7617,2563.4768,1464.5533,24916.8535,95214.5859,-33687.9453,53959.6133,-107001.5312,179837.5781
1657.201550824,14329.4131,-133986.9219,-184159.2656,105416.3672,0.0,0.0,0.0,0.0,-22.9552,3381.6848,-17.8143,554.3903,-61280.6367,-17325.2617,-86521.6328,-50324.3281
1657.205369875,-14.618,-16.2274,-18.0379,-16.8085,-91962.3672,-16733.3203,-23002.3145,-33679.8984,-19.2449,3465.8169,-14.5063,640.2434,-61281.9336,-17312.6777,-86529.4609,-50317.0625
1657.241060414,0.0,0.0,40.0543,22.8658,-14900.2314,-16479.5156,-18425.0117,-17125.9961,0.0,0.0,0.0,0.0,0.0,1.2517,0.6929,-769.6153
1657.241649675,108511.4844,44057.7031,6820.6797,0.0,0.0,0.0,0.0,0.0,-592.9471,24173.3672,-86416.5391,-179313.3906,-144497.5312,-110603.5859,0.0,0.0
1657.245410284,-14.5733,-16.1156,-18.0379,-16.7862,-92019.6484,-16793.2461,-23089.2188,-33735.6211,-81.718,3804.2893,-69.6257,975.7878,-61338.3711,-17378.5938,-86591.1953,-50378.375
1657.254106321,-14.7074,-16.138,-17.9708,-16.7862,-91958.9219,-16729.5879,-23018.8555,-33675.3398,-19.2449,3423.3484,-14.5733,595.5175,-61274.3359,-17308.0957,-86521.4375,-50314.5586
1657.257347665,-14.6627,-16.0933,-18.0155,-16.7638,-91978.3438,-16741.5684,-23030.2773,-33683.4297,-20.4965,3561.3706,-15.4898,733.6513,-61290.4492,-17320.0547,-86542.8672,-50327.5664
1657.261119551,549.3165,732.3773,-103271.5391,-150878.9688,160400.3594,-173763.7344,-62288.6562,29984.2168,0.0,0.0,5.0068,2.8387,-8814.79,109783.1641,-7475.854,122746.0156
1657.261699739,13916.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26595.4023,167083.3594,-72406.7812,0.0,0.0,0.0,0.0,0.0
1657.265468718,-14.618,-16.1156,-17.9932,-16.8085,-91990.1719,-16783.1641,-23085.4629,-33726.9062,-59.7462,3568.2549,-51.4537,738.8816,-61310.9922,-17357.002,-86553.3281,-50356.582
1657.26922966,-14.6404,-16.1156,-18.0379,-16.8532,-91952.6641,-16727.4648,-23026.2754,-33673.3281,-19.7589,3392.9277,-14.9757,565.1862,-61271.207,-17305.0996,-86515.8672,-50312.4141
1657.272985529,0.0,0.0,0.0,0.0,0.0,0.0,-46875.0039,187492.7344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258
1657.273575661,-9.0078,-8.4266,141514.8594,179133.4531,175983.2656,-16836.5625,0.0,0.0,-314.3549,56572.7812,-237.4649,11339.5986,144438.7344,97992.1016,115400.3828,-55161.9609
1657.27733627,-14.6404,-16.1603,-17.9485,-16.8309,-92002.9297,-16773.7324,-23081.4395,-33708.0859,-62.8978,3760.6587,-52.6831,933.8782,-61325.8125,-17358.6113,-86581.0234,-50363.1953
1657.286099673,-14.618,-16.138,-17.9708,-16.8309,-91947.2344,-16729.3203,-23040.6035,-33667.3164,-21.033,3376.6333,-16.1603,549.1377,-61273.3047,-17305.2129,-86517.0078,-50319.6094
1657.289334777,-14.618,-16.0933,-17.9932,-16.8532,-91964.1094,-16730.4824,-23036.9375,-33662.1055,-19.2449,3511.146,-14.5063,684.4998,-61284.3242,-17308.2754,-86535.5391,-50324.9961
