timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1658.71295002,-14.5733,-16.0933,-17.9485,-16.7638,-92004.6562,-16763.7852,-23041.3184,-33821.2305,-113.1892,3816.3145,-100.1582,991.881,-61446.2188,-17491.2461,-86571.2578,-50522.543
1658.716948139,-14.5733,-16.138,-18.0155,-16.7862,-92007.2656,-16788.709,-23075.0469,-33848.6328,-42.2671,3433.9878,-36.2992,608.8168,-61391.5469,-17435.2324,-86505.1406,-50474.5078
1658.720946221,-14.6627,-16.1827,-17.9708,-16.8309,-91952.2578,-16723.7324,-23004.2148,-33786.3164,-19.1554,3466.6438,-14.5063,643.5514,-61381.2891,-17409.8633,-86501.6719,-50457.2539
1658.724944488,-14.618,-16.1156,-18.0155,-16.8085,-91967.7266,-16725.498,-23001.1074,-33780.6602,-30.309,3617.384,-24.0058,794.5598,-61400.8242,-17426.3594,-86525.7266,-50474.9766
1658.728946366,-14.551,-16.1827,-18.0155,-16.8085,-91994.7734,-16757.9531,-23033.8535,-33806.9688,-122.3534,3836.3193,-108.026,1012.8246,-61446.668,-17483.3105,-86569.8047,-50524.7773
1658.732942263,-14.5957,-16.1156,-17.9932,-16.8085,-92014.3125,-16803.0137,-23086.6484,-33851.8047,-57.9134,3491.5437,-50.6491,667.4454,-61402.1875,-17442.0059,-86512.9609,-50488.1641
1658.736937901,-14.6404,-16.138,-18.0155,-16.7862,-91956.2422,-16741.9043,-23023.1016,-33794.6992,-19.3343,3442.7722,-14.5733,620.4621,-61380.5938,-17407.3379,-86497.1406,-50461.2773
1658.740936964,-14.5957,-16.1156,-18.0155,-16.7638,-91965.1328,-16735.5117,-23013.334,-33782.7852,-23.6034,3587.9915,-18.0155,766.1731,-61397.7617,-17421.2188,-86519.3359,-50474.6406
1658.744938416,-14.551,-16.138,-18.0155,-16.7638,-91989.5,-16761.998,-23041.1836,-33806.9023,-87.7977,3811.2183,-74.9007,989.1765,-61441.5039,-17474.6387,-86563.3203,-50519.7695
1658.74892948,-14.6404,-16.138,-17.9932,-16.7415,-92016.6562,-16811.7969,-23100.3262,-33857.9102,-57.2428,3558.5989,-48.8162,735.283,-61414.7031,-17454.209,-86525.2344,-50501.418
1658.752974874,-14.6851,-16.1603,-17.9485,-16.7862,-91962.8359,-16760.9258,-23049.6992,-33814.1445,-19.6472,3414.6536,-14.8416,593.0812,-61380.5039,-17405.7734,-86493.9219,-50462.6602
1658.756926699,-14.6627,-16.138,-18.0155,-16.8085,-91962.7656,-16740.8086,-23026.6562,-33790.3398,-19.9378,3560.3647,-15.0204,739.3957,-61396.957,-17414.3105,-86515.4453,-50472.9648
