timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1769.164403238,-14.6627,-16.0709,-18.0379,-16.8309,-92248.9766,-20835.0664,-25993.6934,-43717.3516,-303.8049,4513.3091,-283.6436,1416.5195,-68790.8906,-19213.4707,-86607.3125,-51898.8516
1769.168381169,-14.7074,-16.1827,-18.0155,-16.8532,-92216.9297,-20817.6094,-25982.0039,-43705.7734,-60.7297,4165.7168,-54.0465,1071.9226,-68735.125,-19149.2988,-86545.2188,-51845.8789
1769.172417099,-14.6851,-16.1827,-18.0379,-16.8085,-92186.5938,-20771.834,-25930.3027,-43664.1562,-28.4091,4267.5513,-20.8765,1176.1041,-68741.0,-19143.2852,-86556.9062,-51843.3945
1769.176374548,-14.6627,-16.1156,-17.9708,-16.7862,-92203.875,-20781.2207,-25937.7012,-43671.9102,-135.1386,4435.7261,-119.0007,1343.2057,-68765.9688,-19169.6602,-86586.1172,-51866.8672
1769.180376164,-14.6851,-16.0933,-17.9708,-16.8532,-92239.3203,-20825.9473,-25986.8301,-43711.8555,-313.1256,4551.374,-290.5056,1456.0597,-68797.1484,-19214.6094,-86614.7969,-51906.2031
1769.18437539,-14.618,-16.138,-18.0155,-16.8532,-92225.0,-20828.6738,-25995.6816,-43716.4141,-82.2991,4190.6392,-75.3924,1096.7554,-68743.8203,-19157.7246,-86553.0391,-51857.8594
1769.188374858,-14.6627,-16.1827,-17.9932,-16.8532,-92183.1094,-20773.5781,-25934.9082,-43668.6484,-24.0728,4237.9131,-17.2332,1146.5327,-68739.5938,-19139.2168,-86552.5234,-51845.1172
1769.192393399,-14.6627,-16.1156,-17.9261,-16.8085,-92197.6797,-20777.0195,-25936.248,-43673.4766,-89.854,4386.083,-76.3983,1294.7471,-68760.25,-19157.3672,-86577.2266,-51863.3555
1769.196368163,-14.6404,-16.1156,-17.9932,-16.8085,-92228.2344,-20812.7598,-25975.498,-43707.832,-318.4453,4588.6792,-294.3278,1493.7894,-68803.2969,-19213.0449,-86620.0703,-51911.5
1769.200362371,-14.6627,-16.138,-17.9932,-16.8085,-92234.5391,-20837.9062,-26009.8086,-43735.5898,-126.265,4241.3774,-116.0279,1147.5833,-68757.9922,-19167.6934,-86564.3047,-51872.7891
