timestamp_s,ch1_uV,ch2_uV,ch3_uV,ch4_uV,ch5_uV,ch6_uV,ch7_uV,ch8_uV,ch9_uV,ch10_uV,ch11_uV,ch12_uV,ch13_uV,ch14_uV,ch15_uV,ch16_uV
1849.71800817,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-119310.2812,-116018.4297,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.721793887,0.0,0.0,0.0,0.0,40.0543,11.4217,-11.4664,-11.4664,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.726115456,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120797.5703,-120642.4219,-5859.3979,-5859.3979,-5859.3979,-5859.3979,-11718.751,0.0,0.0,0.0
1849.738077385,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120436.8125,-120492.0156,-1464.8663,-1464.8663,-1464.8663,-1464.8663,-1464.8663,-2929.6877,0.0,0.0
1849.741864528,0.0,0.0,82031.2578,23437.4805,-23437.5254,-23437.5254,-23437.5254,-23437.5254,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.746187708,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-121136.8906,-120433.6797,-11718.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849.74997337,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120752.2812,-120775.8828,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.753751828,0.0,0.0,0.0,0.0,0.0,0.0,2.5034,0.6929,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.758065822,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120727.2266,-120660.0781,-0.0447,-0.0447,-0.0447,-0.0447,-0.0447,0.0,0.0,0.0
1849.761846558,0.0,0.0,0.0,41015.6289,11718.7285,-11718.7734,-11718.7734,-11718.7734,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.774074024,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120535.9844,-120808.0703,-46875.0273,-46875.0273,-46875.0273,-46875.0273,-93750.0078,0.0,0.0,0.0
1849.782586476,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120573.2188,-120676.3047,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.785836564,0.0,0.0,0.0,0.0671,-187500.0156,-0.0447,-0.0447,-0.0447,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.790147503,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120667.0547,-120765.4062,-23437.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849.793932572,82031.2578,23437.4805,-23437.5254,-23437.5254,-23437.5254,-23437.5254,-23437.5254,-15134.9473,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.802609543,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120584.1094,-120688.8281,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.80586402,0.0,0.0,0.0,20507.8145,5859.3535,-5859.3979,-5859.3979,-5859.3979,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.834093354,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120697.2266,-119938.6562,-45.7764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849.842629084,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120534.2891,-120468.4609,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.845889487,0.0,0.0,0.3129,0.0671,-0.1118,-0.1118,-0.1118,-0.1118,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.854623606,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-119438.0234,-117153.8281,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.857875898,0.0,0.0,0.0,20.0272,5.6997,-5.7444,-5.7444,-5.7444,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1849.862637595,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120359.3828,-120690.3906,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.006715373,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120496.5547,-120515.375,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.010717312,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120345.8359,-120519.9766,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.014703122,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120405.9453,-120516.625,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.042707956,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120574.4766,-120752.5938,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.046707451,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120504.8672,-120366.6484,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.054702163,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120375.9922,-120315.0625,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.062709838,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120192.3906,-119634.4062,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.070717753,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120457.3047,-120582.3828,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.078714317,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120692.2891,-118927.6875,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.086718158,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120589.0703,-120717.1641,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.094727852,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120408.6484,-120700.8984,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.102730267,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120540.6328,-119954.9531,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.110713239,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120649.6875,-120673.5156,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.118716062,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120264.9219,-119981.9531,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.126726755,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-121767.5234,-120435.6016,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.13472506,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120423.5078,-120636.5234,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.142734234,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120682.1406,-120946.0938,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.150725243,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120709.3672,-120643.2266,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.158729918,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-121113.4609,-120552.3203,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.166733592,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120343.6484,-120992.4297,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.174741175,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120433.4766,-120493.9375,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
1850.182741239,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,-120268.7266,-119801.0781,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0,187500.0
