song,filePath,songDuration
21 savage - bank account,diverse_playlist_100_songs/21 savage - bank account.mp3,221
ariana grande feat. doja cat & megan thee stallion - 34+35,diverse_playlist_100_songs/ariana grande feat. doja cat & megan thee stallion - 34+35.mp3,244
artemas - i like the way you kiss me,diverse_playlist_100_songs/artemas - i like the way you kiss me.mp3,143
bad bunny - baile inolvidable,diverse_playlist_100_songs/bad bunny - baile inolvidable.mp3,368
bad bunny - despues de la playa,diverse_playlist_100_songs/bad bunny - despues de la playa.mp3,236
bad bunny - titi me pregunto,diverse_playlist_100_songs/bad bunny - titi me pregunto.mp3,244
billie eilish - bury a friend,diverse_playlist_100_songs/billie eilish - bury a friend.mp3,194
billie eilish - everything i wanted,diverse_playlist_100_songs/billie eilish - everything i wanted.mp3,247
billie eilish - happier than ever,diverse_playlist_100_songs/billie eilish - happier than ever.mp3,299
billie eilish - lunch,diverse_playlist_100_songs/billie eilish - lunch.mp3,180
billie eilish - when the party's over,diverse_playlist_100_songs/billie eilish - when the party's over.mp3,196
blake shelton - god's country,diverse_playlist_100_songs/blake shelton - god's country.mp3,203
brett young - in case you didn't know,diverse_playlist_100_songs/brett young - in case you didn't know.mp3,237
burl ives - a holly jolly christmas,diverse_playlist_100_songs/burl ives - a holly jolly christmas.mp3,139
camila cabello featuring ed sheeran - bam bam,diverse_playlist_100_songs/camila cabello featuring ed sheeran - bam bam.mp3,208
"chappell roan - good luck, babe!","diverse_playlist_100_songs/chappell roan - good luck, babe!.mp3",219
chappell roan - hot to go!,diverse_playlist_100_songs/chappell roan - hot to go!.mp3,185
childish gambino - redbone,diverse_playlist_100_songs/childish gambino - redbone.mp3,327
childish gambino - this is america,diverse_playlist_100_songs/childish gambino - this is america.mp3,226
ckay - love nwantiti (ah ah ah),diverse_playlist_100_songs/ckay - love nwantiti (ah ah ah).mp3,145
coldplay - adventure of a lifetime,diverse_playlist_100_songs/coldplay - adventure of a lifetime.mp3,264
coldplay - hymn for the weekend,diverse_playlist_100_songs/coldplay - hymn for the weekend.mp3,260
dababy - suge,diverse_playlist_100_songs/dababy - suge.mp3,166
daddy yankee & katy perry featuring snow - con calma,diverse_playlist_100_songs/daddy yankee & katy perry featuring snow - con calma.mp3,182
david kushner - daylight,diverse_playlist_100_songs/david kushner - daylight.mp3,214
doechii - anxiety,diverse_playlist_100_songs/doechii - anxiety.mp3,250
drake - passionfruit,diverse_playlist_100_songs/drake - passionfruit.mp3,299
